,ProjectName,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments,UpstreamDependencies,DownstreamDependencies,Vindex
564,inflate,850,10,5,25,7,39,24,19,54,1,0,3,2,6,2
565,maidsafe_utilities,851,11,14,206,1,117,1,130,68,0,0,3,1,21,4
566,arrayfire-rust,1026,201,7,211,85,0,0,4,1,1,0,4,4,2,0
567,spaceapi-rs,846,3,5,250,11,263,287,264,579,1,1,3,3,1,0
568,approx,845,11,1,34,3,63,0,247,5,0,0,2,5,52,7
569,rust-openssl,1532,318,57,1975,261,0,0,0,0,0,1,3,3,2,1
570,libpnet,1286,510,15,363,22,0,2,9,0,0,0,4,1,5,2
571,discord-rs,833,156,18,236,47,2,1,0,0,6,2,3,11,2,0
572,rust-security-framework,932,10,5,238,8,1,0,0,3,1,0,2,20,13,6
573,rust-security-framework,932,10,5,238,8,1,0,0,3,1,0,2,2,2,2
574,rust-egl,1520,2,7,17,0,0,0,11,0,0,0,3,1,2,1
575,tiny-keccak,833,39,5,67,3,48,0,140,0,1,5,1,0,24,4
576,inth-oauth2,832,17,3,208,6,3,2,0,1,0,0,4,4,1,0
577,rust-clipboard,1077,43,2,100,10,0,0,374,0,0,1,2,11,453,14
578,diesel,923,1080,40,2544,313,0,0,0,0,1,1,4,6,9,1
579,diesel,923,1080,40,2544,313,0,0,0,0,1,1,4,18,31,3
580,rust-freetype,1961,11,10,45,2,0,0,51,44,0,0,2,7,7,2
581,ipc-channel,990,100,11,333,20,16,0,177,56,0,1,5,7,1,0
582,glutin,1321,757,35,2125,239,0,0,2,0,0,0,2,25,2,1
583,html5ever,1457,515,26,525,70,0,2,0,4,0,1,8,8,1,0
584,rust-base64,827,50,4,81,13,0,0,122,0,22,28,6,6,296,18
585,collenchyma-nn,823,17,5,143,8,28,0,85,45,0,0,1,1,1,0
586,rusty-cheddar,879,177,4,213,21,0,0,122,1,4,0,2,1,7,2
587,rusty-machine,846,514,12,605,61,5,4,4,5,1,1,6,1,2,0
588,strings.rs,1084,6,3,27,3,3,0,5,0,1,1,7,15,15,4
589,zinc,1417,964,26,882,104,7,2,1,2,0,0,3,2,1,0
590,orbtk,816,72,3,182,3,0,0,245,0,0,0,5,2,2,0
591,rust-vobject,1217,8,3,107,5,2,0,0,86,1,0,10,7,7,1
592,neon,902,492,9,236,22,0,4,2,0,1,13,3,9,19,3
593,neon,902,492,9,236,22,0,4,2,0,1,13,3,1,1,1
594,bip-rs,1233,105,4,652,38,0,0,162,0,1,0,1,1,3,1
595,bip-rs,1233,105,4,652,38,0,0,162,0,1,0,1,2,3,0
596,bip-rs,1233,105,4,652,38,0,0,162,0,1,0,1,6,1,0
597,bip-rs,1233,105,4,652,38,0,0,162,0,1,0,1,3,6,1
598,rust-ndarray,1313,338,10,2589,110,0,43,23,6,0,0,2,6,372,22
599,clang-sys,808,11,13,371,35,0,0,0,0,0,0,4,3,12,3
600,neon,902,492,9,236,22,0,4,2,0,1,13,3,11,19,1
601,cadence,827,8,2,242,31,0,0,286,32,0,3,1,5,122,13
602,rust-bcrypt,810,10,1,13,1,0,0,346,2,1,0,9,10,1332,19
603,rust-multihash,802,15,6,36,1,0,0,0,0,0,66,3,4,3,1
604,BearLibTerminal-sys.rs,801,2,2,15,0,0,0,194,0,0,66,4,1,1,1
