,ProjectName,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments,UpstreamDependencies,DownstreamDependencies,Vindex
213,urlencoded,1359,16,9,76,11,0,2,59,0,0,1,3,4,19,2
214,pcap,1096,83,7,129,33,0,47,0,0,2,1,3,2,49,4
215,glium_text,1183,35,2,114,3,0,0,636,0,0,0,1,5,3,0
216,maidsafe_types,1035,1,7,190,0,19,0,1,2,0,0,1,1,3,1
217,android-rs-glue,1281,547,9,302,29,0,0,0,0,0,0,2,0,4,2
218,core-foundation-rs,2017,16,10,83,5,2,1,2,144,0,0,4,1,2,1
219,cocoa-rs,2164,138,13,96,9,0,0,1,1,0,0,2,2,1,1
220,crc-rs,1090,21,3,132,5,0,1,451,0,0,0,6,5,352,16
221,trie,1090,9,11,77,4,0,0,3,411,0,0,1,1,17,2
222,ordered_iter,1089,7,6,18,1,0,0,0,14,0,1,6,3,6,1
223,rust-sysfs-gpio,1092,91,7,439,4,0,240,71,2,0,2,11,1,7,0
224,num_cpus,1088,67,5,77,13,0,0,0,0,0,0,4,2,126,9
225,linked-list,1087,17,5,41,2,0,123,291,187,0,0,1,8,10,2
226,linked-hash-map,1087,42,13,118,21,0,4,2,103,1,1,3,2,45,7
227,lru-cache,1087,22,7,69,13,2,103,1,5,0,0,3,4,1305,40
228,interval-heap,1087,8,5,37,5,168,0,281,313,0,0,3,2,4,1
229,vodk.rs,1532,4,4,272,6,205,0,100,100,0,3,1,0,4,2
230,rust-htslib,1121,37,10,288,17,0,190,0,2,0,7,5,1,3,0
231,rust_radix_trie,1135,33,3,107,14,0,0,7,8,0,108,16,1,1,0
232,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
233,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
234,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
235,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
236,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
237,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
238,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
239,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
240,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
241,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
242,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
243,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
244,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
245,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
246,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
247,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
248,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
249,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
250,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
251,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
252,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
253,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
254,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
255,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
256,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
257,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
258,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
259,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
260,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
261,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
262,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
263,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
264,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
265,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
266,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
267,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,2,0
268,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
269,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
270,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
271,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
272,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
273,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
274,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
275,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
276,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
277,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
278,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
279,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
280,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
281,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
282,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
283,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
284,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
285,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
286,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
287,rust-sdl2_image,1512,22,9,100,15,0,0,0,0,0,1,2,3,4,1
288,sodiumoxide,1555,248,12,476,68,0,0,0,0,2,3,5,1,11,3
289,sodiumoxide,1555,248,12,476,68,0,0,0,0,2,3,5,3,41,3
290,netmap_sys,1143,10,2,27,2,106,0,294,52,0,1,1,2,1,1
291,serial-rs,1076,98,5,143,30,0,43,0,0,1,0,18,7,19,2
292,eventual,1074,275,6,76,23,1,0,0,53,3,2,3,12,13,4
293,hound,1074,42,3,77,3,0,180,3,8,7,1,4,6,54,7
294,fixedbitset,1071,8,1,34,5,52,55,856,0,4,0,1,0,8,2
295,libudev-rs,1069,7,3,31,6,10,178,138,12,68,0,2,1,3,2
296,rust-smallvec,1069,58,11,83,11,0,8,107,87,1,0,3,1,46,6
297,rust-fnv,1068,45,4,30,1,16,0,196,1,0,0,2,4,117,9
298,rust-dylib,1067,4,3,7,3,33,0,0,0,0,0,2,1,4,2
299,crust,1072,501,27,1192,173,94,132,77,32,0,0,2,7,2,1
300,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
301,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
302,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
303,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
304,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
305,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
306,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
307,bson-rs,1066,53,6,123,26,0,0,320,6,1,1,2,3,1,1
308,lru_time_cache,1065,29,19,153,7,22,0,27,11,0,0,3,2,12,3
309,rust_mozrunner,1123,3,4,43,0,124,188,116,85,1,0,3,2,2,0
310,webdriver-rust,1149,44,12,114,14,6,89,14,0,1,1,4,15,18,3
311,rust-typed-arena,1064,43,4,14,1,1,0,68,31,2,1,2,0,16,4
312,dot-rust,1064,4,2,25,1,0,8,116,22,0,2,13,13,435,14
313,retry,1063,24,2,42,5,16,11,366,8,3,0,22,10,288,19
314,routing,1109,154,33,2823,139,182,169,88,152,0,0,3,17,12,2
315,nickel.rs,1375,2026,44,624,129,0,0,0,0,0,1,4,19,18,2
316,nickel.rs,1375,2026,44,624,129,0,0,0,0,0,1,4,0,1,1
317,rust-id3,1216,17,5,117,1,36,0,105,0,4,3,1,10,9,1
318,piston_window,1061,51,9,152,50,0,44,0,0,0,0,3,6,32,3
319,coroutine-rs,1108,304,4,102,19,0,0,102,0,0,0,2,7,4,1
320,tempfile,1062,40,3,239,18,0,0,2,0,1,0,11,9,347,37
321,rust-sfml,1745,298,14,1219,62,0,0,0,0,1,2,2,5,5,1
322,unicode-segmentation,1061,63,7,70,2,0,0,128,2,1,0,6,1,38,3
323,unicode-normalization,1061,20,7,66,3,0,0,104,104,8,0,3,0,24,5
324,oil-rs,1101,12,3,54,2,44,0,9,89,0,48,8,5,1,0
325,oil-rs,1101,12,3,54,2,44,0,9,89,0,48,8,0,2,1
326,rust-imap,1059,47,7,179,7,0,18,60,1,1,0,2,4,113,6
327,rust-cpython,1159,566,10,306,43,0,0,0,1,1,0,10,16,4,1
328,glutin_window,1143,6,8,104,18,0,0,0,0,0,0,1,5,11,3
329,erlang_nif-sys,1063,27,1,71,13,8,0,369,14,0,0,1,1,2,0
330,ipnetwork,1057,6,4,147,4,0,1,2,0,0,0,2,2,5,2
331,mp4parse-rust,887,147,4,369,9,1,231,451,183,0,0,5,1,2,0
332,multimap,1050,6,2,36,4,2,0,387,151,15,4,1,4,16,6
333,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
334,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,6,1,0
335,syntex,1191,93,6,269,25,0,61,168,0,1,1,1,1,1,1
336,string-cache,1358,31,22,401,16,2,29,131,5,0,0,3,3,5,4
337,string-cache,1358,31,22,401,16,2,29,131,5,0,0,3,3,3,3
338,string-cache,1358,31,22,401,16,2,29,131,5,0,0,3,7,21,4
339,scopeguard,1044,20,2,34,4,3,0,499,12,0,0,2,0,5,2
340,edit-distance,1059,10,4,47,0,0,0,4,408,277,0,4,4,2,1
341,accumulator,1043,10,17,145,3,90,2,82,10,0,0,2,5,3,1
342,rust-cpython,1159,566,10,306,43,0,0,0,1,1,0,10,2,1,1
343,vec-map,981,18,5,53,13,0,3,632,0,4,0,2,2,35,3
344,solicit,1151,295,6,1255,10,0,366,158,0,1,1,2,15,6,4
345,rust-bindgen,732,94,12,50,57,0,0,0,0,0,240,1,1,2,1
346,oil-rs,1101,12,3,54,2,44,0,9,89,0,48,8,5,1,0
347,oil-rs,1101,12,3,54,2,44,0,9,89,0,48,8,2,2,1
348,rsroll,1038,4,2,19,2,504,3,414,4,4,4,9,3,3,1
349,kafka-rust,1037,209,10,560,58,8,17,52,7,1,0,6,46,5,1
350,jetscii,1037,37,3,959,1,0,1,477,177,0,1,6,1,1,1
351,rustful,1484,793,8,783,60,0,0,0,0,0,1,5,5,2,1
352,twox-hash,1035,52,2,1336,1,0,0,658,1,0,0,3,1,8,2
353,rust-clippy,1206,82,7,154,52,0,2,23,0,1,0,5,8,458,23
354,compiletest-rs,1085,82,7,108,24,12,4,54,8,0,0,5,1,58,11
355,gfx_scene,1112,8,3,27,5,70,6,125,124,0,0,2,0,1,1
356,gfx_scene,1112,8,3,27,5,70,6,125,124,0,0,2,3,2,1
357,gfx_scene,1112,8,3,27,5,70,6,125,124,0,0,2,3,1,0
358,glib,1073,12,7,163,21,4,170,1,0,0,0,4,10,122,9
359,sys,958,6,3,85,4,278,224,279,0,0,0,2,2,64,11
360,sys,958,6,3,85,4,278,224,279,0,0,0,2,4,14,3
361,cairo,1073,45,8,109,18,0,1,0,0,0,0,4,4,17,3
362,cairo,1073,45,8,109,18,0,1,0,0,0,0,4,2,13,5
363,gtk,1073,512,13,420,150,0,2,0,0,0,0,5,19,46,2
364,sys,958,6,3,85,4,278,224,279,0,0,0,2,5,19,2
365,pango,1072,9,3,81,4,40,52,130,0,0,0,6,15,33,6
366,sys,958,6,3,85,4,278,224,279,0,0,0,2,3,11,4
367,sxd-document,1210,75,3,1713,17,0,607,556,1,0,0,1,2,6,2
368,msgpack-rust,1085,224,18,634,66,0,14,0,2,0,3,2,9,22,3
369,primal,1028,33,5,166,2,0,1,357,81,14,16,4,12,10,2
370,rust-pcre,1622,15,3,223,5,26,0,146,8,0,0,2,4,1,0
371,quasi,1111,39,5,123,20,2,0,230,0,0,1,2,3,13,5
372,serde,1577,1001,26,1476,490,0,0,0,0,0,2,3,6,357,8
373,arrayvec,1025,57,4,202,17,0,0,114,0,0,0,7,1,37,5
374,ssdp-rs,1043,15,8,199,9,0,148,24,0,5,0,6,7,5,1
375,rust-spidev,1051,11,4,283,0,0,0,142,0,0,1,1,3,3,1
376,arrayvec,1025,57,4,202,17,0,0,114,0,0,0,7,1,16,4
377,shiplift,1079,69,7,493,16,5,1,0,2,0,0,2,8,1,0
378,rs-es,1054,123,5,702,22,0,66,0,2,0,0,2,5,2,0
379,mongo-rust-driver-prototype,1745,146,11,92,49,0,168,0,0,3,1,8,58,4346,35
380,gfx_texture,1225,1,9,94,23,0,190,0,0,0,0,1,3,4,2
381,gfx_voxel,1240,7,9,69,10,19,0,3,0,0,0,3,4,2,0
382,rustorm,1051,174,3,356,15,1,35,164,0,0,0,2,7,2,0
383,ramp,1019,116,13,251,24,8,0,0,78,4,0,2,12,8,2
384,gfx_text,1032,18,5,79,14,65,168,351,5,0,0,2,6,2,1
385,lifeguard,1018,57,4,83,10,0,0,236,237,1,0,3,13,3,1
386,horrorshow-rs,1042,93,2,305,8,0,0,364,0,0,0,11,2,5,1
387,regex,1184,253,17,874,98,0,0,0,0,0,0,3,2,17,6
388,image-gif,1015,14,6,43,15,0,0,0,7,0,0,3,13,16,2
389,timely-dataflow,1188,529,6,823,20,1,484,292,4,0,0,4,17,9,1
390,rust-ffmpeg,1037,73,14,417,14,0,12,0,0,0,0,7,9,21,2
391,meta,1043,33,4,292,129,0,0,64,13,0,0,2,2,5,1
392,startuppong-client-rs,1013,2,2,26,1,0,0,116,86,0,0,2,3,1,0
393,core-foundation-sys,1012,1,3,21,0,17,208,200,1,153,0,8,1,1,0
394,rust-gc,1027,219,8,149,17,0,14,0,0,0,0,3,5,11,2
395,rust-gc,1027,219,8,149,17,0,14,0,0,0,0,3,0,1,1
396,odds,1011,8,2,179,2,2,0,315,257,0,0,2,13,15,4
397,bit-vec,1011,19,7,68,7,0,0,24,0,0,261,3,1,50,6
398,pulldown-cmark,1010,361,6,127,16,1,0,20,0,1,0,5,1,28,2
399,yaml-rust,1019,174,8,125,29,0,0,0,0,6,3,2,2,57,4
400,notify-rust,1024,86,7,249,18,2,0,0,0,0,0,13,1,8,0
401,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,5,4,2
402,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,4,8,3
403,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,6,1,1
404,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,5,3,2
405,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,6,3,2
406,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,8,2,2
407,ncollide,1760,404,12,668,59,0,334,0,0,0,0,8,5,7,3
408,primal,1028,33,5,166,2,0,1,357,81,14,16,4,1,2,2
409,primal,1028,33,5,166,2,0,1,357,81,14,16,4,2,1,1
410,primal,1028,33,5,166,2,0,1,357,81,14,16,4,1,3,2
411,primal,1028,33,5,166,2,0,1,357,81,14,16,4,5,3,1
412,primal,1028,33,5,166,2,0,1,357,81,14,16,4,2,2,2
413,alsa-rs,1005,11,2,99,14,3,1,404,126,1,1,19,5,2,0
414,bson-rs,1066,53,6,123,26,0,0,320,6,1,1,2,16,498,18
415,formdata,1004,18,4,161,22,0,0,0,0,0,0,5,15,12,3
416,unicode-bidi,1018,14,8,79,7,0,28,14,13,0,3,3,1,3,3
417,rust-memchr,1002,17,7,47,3,0,421,0,0,1,0,2,2,43,9
418,aho-corasick,1002,106,7,63,5,0,0,0,1,1,2,4,3,11,2
419,rust-objc-foundation,1082,4,1,201,0,0,4,935,85,0,2,4,4,7,3
420,cgl-rs,1227,1,6,20,3,0,0,84,12,0,0,1,2,7,2
421,gleam,1227,26,17,138,9,47,38,50,155,0,0,3,19,8,2
422,rustlex,1446,103,5,166,10,0,314,0,0,2,4,2,5,3,1
423,slab,1005,57,8,49,12,0,0,0,0,2,28,2,1,32,6
424,html5ever,1457,515,26,525,70,0,2,0,4,0,1,8,11,20,2
425,html5ever,1457,515,26,525,70,0,2,0,4,0,1,8,2,1,1
426,html5ever,1457,515,26,525,70,0,2,0,4,0,1,8,0,2,1
427,Juju,1011,2,6,89,4,109,132,34,576,1,1,2,36,2,1
428,euclid,2101,58,18,183,28,11,6,0,49,0,0,2,29,15,3
429,prettytable-rs,1016,49,4,259,27,0,42,257,5,0,1,5,1,22,1
430,net2-rs,995,40,8,98,12,0,0,14,0,1,0,4,1,62,8
431,html5ever,1457,515,26,525,70,0,2,0,4,0,1,8,5,1,1
432,dft,993,10,3,108,4,93,0,415,1,0,93,7,12,13,2
433,md5,992,10,4,57,0,0,0,238,0,1,0,20,3,1883,29
434,tendril,1081,58,6,100,6,0,0,0,70,0,0,2,15,20,3
435,mush,1043,13,2,69,16,370,8,374,260,0,0,2,19,3,1
436,telegram-bot,987,30,3,268,16,0,34,102,0,1,308,1,13,6,1
437,robotparser-rs,986,7,4,171,2,169,41,192,0,1,0,5,3,1,0
438,chan,980,223,3,50,10,40,0,0,0,0,0,1,7,30,4
439,cargo,1466,2417,174,6652,1893,0,0,0,1,1,1,3,37,41,2
440,mime_guess,1106,6,2,12,1,0,0,138,2,0,1,1,1,25,3
441,rust-gmp,1026,19,5,79,3,0,4,0,0,6,0,15,1,6,1
442,params,977,33,2,54,21,0,0,382,0,1,1,1,13,43,5
443,xattr,973,3,1,73,7,0,3,742,0,0,55,11,3,4,2
444,linear-map,1087,10,9,74,15,22,1,0,30,50,3,4,2,6,2
445,chan-signal,971,71,5,34,8,0,0,0,0,5,0,1,4,15,1
446,slug-rs,985,1,2,11,0,0,1,219,4,0,0,12,5,553,13
447,rust-ctrlc,1118,24,3,80,10,0,8,1,0,10,3,5,2,15,1
448,rust-c-ares,970,6,5,1049,18,31,0,243,6,0,3,7,3,1,0
449,rust-c-ares,970,6,5,1049,18,31,0,243,6,0,3,7,1,1,1
450,combine,1152,310,7,532,34,0,6,46,0,0,24,3,4,16,2
451,histogram,985,18,3,356,9,0,218,535,4,0,0,10,9,20,3
452,v8-rs,549,54,6,355,2,54,43,9,42,0,84,4,5,1,1
453,netbuf,959,11,6,79,6,3,26,54,0,0,0,1,1,10,4
454,cargo,1466,2417,174,6652,1893,0,0,0,1,1,1,3,2,2,1
455,sysinfo,1095,17,5,245,18,0,9,11,2,0,0,4,3,21,2
456,lalrpop,1001,505,10,797,81,0,0,2,1,1,0,3,8,13,2
457,lalrpop,1001,505,10,797,81,0,0,2,1,1,0,3,8,1,2
458,lalrpop,1001,505,10,797,81,0,0,2,1,1,0,3,0,17,2
459,owning-ref-rs,957,81,5,764,12,0,0,244,13,4,0,5,1,16,3
460,rust-zookeeper,1251,54,5,292,13,0,0,24,7,1,4,4,7,1,0
461,lalrpop,1001,505,10,797,81,0,0,2,1,1,0,3,0,2,1
462,cbor-codec,971,6,2,63,5,8,0,124,24,6,1,3,7,1,0
463,rustache,1267,175,10,472,13,26,0,24,0,0,0,5,3,2,0
464,libpnet,1286,510,15,363,22,0,2,9,0,0,0,4,3,4,2
465,cmake-rs,1224,14,5,797,8,0,200,245,0,1,0,4,1,47,4
466,timely-dataflow,1188,529,6,823,20,1,484,292,4,0,0,4,3,2,1
467,rusoto,969,369,29,1543,244,0,3,0,6,1,2,3,8,8,1
468,json,1025,292,15,789,146,0,0,1,0,0,15,3,2,1329,26
469,emit,723,14,5,329,10,39,24,83,116,0,15,13,4,3,0
470,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,8,1,0
471,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,8,1,0
472,google-apis-rs,1106,124,6,614,141,0,0,56,2,1,1,4,8,1,0
473,kdtree-rs,954,14,3,86,3,2,0,349,68,9,3,6,3,12,1
474,heapsize,945,38,10,139,13,0,106,304,17,0,0,3,1,21,11
475,meta,1043,33,4,292,129,0,0,64,13,0,0,2,2,1,0
476,heapsize,945,38,10,139,13,0,106,304,17,0,0,3,1,10,6
477,rust-jack,903,15,5,32,3,42,28,7,18,1,0,7,1,6,1
478,memory_map,959,4,10,80,3,34,0,36,5,0,0,2,5,1,1
479,unshare,937,20,4,144,1,243,119,228,243,0,0,12,2,5,1
480,wayland-window,1022,4,2,12,1,7,0,34,54,0,0,7,3,3,2
481,rotor-http,940,121,3,229,15,0,1,122,2,0,0,8,7,1,0
482,esprit,1091,132,4,184,14,0,30,105,40,8,5,4,6,1,0
483,imgui-rs,936,248,6,265,20,0,4,0,2,1,0,2,6,3,1
484,memmap-rs,1070,141,13,175,16,0,0,0,2,1,1,9,5,65,5
485,scoped-threadpool-rs,1016,65,4,693,3,0,0,330,0,0,0,2,1,16,2
